created_at,tweets_count_76ers,tweets_count_Blazers,tweets_count_Bucks,tweets_count_Bulls,tweets_count_Cavaliers,tweets_count_Celtics,tweets_count_Clippers,tweets_count_Grizzlies,tweets_count_Hawks,tweets_count_Heat,tweets_count_Hornets,tweets_count_Jazz,tweets_count_Kings,tweets_count_Knicks,tweets_count_Lakers,tweets_count_Magic,tweets_count_Mavericks,tweets_count_Nets,tweets_count_Nuggets,tweets_count_Pacers,tweets_count_Pelicans,tweets_count_Pistons,tweets_count_Raptors,tweets_count_Rockets,tweets_count_Spurs,tweets_count_Suns,tweets_count_Thunder,tweets_count_Timberwolves,tweets_count_Warriors,tweets_count_Wizards
2019-12-23,19,9,47,6,11,32,13,13,7,2,16,17,7,14,27,10,7,7,51,35,4,14,18,2,9,14,26,4,13,17
2019-12-24,44,29,10,18,37,8,3,35,34,35,4,34,27,20,7,32,1,4,37,50,37,21,23,36,40,40,1,18,43,57
2019-12-25,52,9,39,4,5,42,11,6,6,4,8,9,10,5,9,7,7,4,17,8,13,7,32,27,7,30,2,3,43,97
2019-12-26,20,3,11,2,7,9,51,7,6,4,5,12,11,7,29,3,11,12,54,4,39,15,3,7,5,6,5,4,26,50
2019-12-27,11,33,14,6,34,27,14,33,3,3,10,75,17,32,10,9,35,24,5,15,10,44,5,5,22,7,27,30,9,20
2019-12-28,20,8,37,5,15,20,8,23,30,40,37,5,3,9,2,35,8,9,40,40,9,9,6,5,4,29,28,6,37,14
2019-12-29,35,34,41,24,32,20,28,20,24,59,5,47,21,26,40,32,31,30,34,23,31,20,36,36,40,38,11,15,27,37
2019-12-30,6,10,15,7,8,13,4,52,7,11,23,16,13,8,51,7,29,8,76,8,43,5,14,31,2,12,26,7,21,17
2019-12-31,17,46,43,16,15,38,22,17,33,16,31,61,15,8,8,21,10,30,20,55,15,21,10,9,6,66,11,41,11,71
2020-01-01,4,18,17,6,21,14,21,7,7,1,6,5,14,13,11,17,24,6,24,15,4,11,31,39,41,7,35,9,32,38
2020-01-02,6,31,51,12,11,13,7,19,8,7,16,11,4,37,45,31,14,14,27,12,10,10,16,10,11,29,11,30,9,31
2020-01-03,7,7,13,20,33,5,49,36,11,42,27,44,39,7,10,11,38,31,57,34,6,29,21,7,30,10,32,61,21,22
2020-01-04,25,36,14,9,14,34,18,56,34,19,6,5,8,26,45,41,10,20,6,6,36,3,21,50,8,55,7,6,7,38
2020-01-05,0,16,45,19,29,32,31,15,48,14,37,40,19,29,5,29,23,17,33,24,39,36,24,1,22,5,33,10,27,64
2020-01-06,11,28,18,6,36,12,20,52,11,24,15,8,8,11,47,11,4,8,16,11,6,31,6,11,10,22,8,37,7,26
2020-01-07,48,10,33,21,17,28,3,8,39,5,25,44,32,10,11,33,34,29,51,35,39,10,17,8,43,7,27,19,22,62
2020-01-08,13,46,10,4,36,8,12,63,9,7,17,15,28,23,47,18,9,31,9,18,6,40,26,9,17,24,35,28,9,26
2020-01-09,16,12,38,15,7,28,7,7,48,33,37,63,11,16,9,28,33,9,59,22,41,10,34,49,44,7,4,12,29,30
2020-01-10,45,22,13,15,33,27,9,16,16,10,9,17,13,13,9,13,15,10,10,11,13,41,7,48,8,7,34,38,14,20
2020-01-11,20,5,39,22,7,10,45,59,32,32,21,58,30,25,38,23,23,48,13,41,33,17,6,34,30,32,7,19,30,59
2020-01-12,22,32,42,18,33,36,6,24,22,27,4,34,9,32,38,8,32,26,48,8,14,25,13,14,18,29,19,2,16,61
2020-01-13,15,9,8,3,8,11,20,43,30,2,29,18,6,18,3,16,7,34,57,15,12,16,21,10,35,48,4,7,18,11
2020-01-14,23,60,10,13,28,39,4,28,7,1,34,9,32,7,58,36,10,11,12,41,30,36,8,11,9,19,27,27,7,16
2020-01-15,10,8,48,5,34,11,41,75,42,6,10,61,10,21,7,14,31,38,11,11,12,14,16,30,13,33,7,4,33,17
2020-01-16,48,57,14,27,7,28,15,13,15,43,29,13,12,9,43,36,32,34,68,33,6,45,37,54,29,13,25,23,11,45
2020-01-17,13,6,43,8,8,19,40,15,11,7,7,57,6,27,14,26,20,8,74,15,59,9,15,7,7,49,8,10,39,20
2020-01-18,55,34,16,14,26,8,29,68,38,56,5,12,9,5,7,6,36,15,3,36,57,11,41,9,24,12,25,21,13,19
2020-01-19,41,31,27,31,30,28,19,9,31,24,6,71,15,22,42,27,2,14,8,11,14,41,35,41,46,46,32,20,42,8
2020-01-20,46,8,32,17,33,18,9,43,43,28,23,12,22,23,12,23,14,36,43,53,32,32,37,40,14,10,26,13,13,71
2020-01-21,20,72,23,6,13,51,13,26,16,38,17,64,17,16,16,9,14,7,50,24,25,6,13,25,43,34,20,26,38,37
2020-01-22,15,11,13,4,13,11,44,12,14,5,19,7,18,11,6,9,29,10,11,9,11,16,10,11,9,12,7,6,6,23
2020-01-23,23,16,12,27,21,33,26,22,39,41,17,46,4,24,34,30,8,13,22,34,77,43,34,49,41,19,30,17,26,70
2020-01-24,12,37,42,6,28,27,11,13,21,9,43,11,0,7,47,12,51,32,12,7,15,21,24,16,10,10,7,7,6,52
2020-01-25,12,8,11,12,12,34,49,45,32,29,7,35,0,31,9,26,29,7,47,73,37,40,32,43,29,46,32,28,30,5
2020-01-26,57,10,3,23,30,9,8,7,7,6,3,38,22,10,28,6,7,40,18,9,12,38,6,7,3,6,31,22,4,20
2020-01-27,7,30,1,4,16,6,5,12,9,6,3,7,7,12,1,9,13,4,8,21,37,16,7,4,17,5,7,3,1,21
2020-01-28,9,4,9,23,41,9,0,14,2,18,24,36,22,9,0,19,34,11,9,9,10,21,10,45,29,5,19,21,7,20
2020-01-29,30,6,43,7,34,18,1,53,26,25,39,14,5,17,0,5,22,11,27,33,34,12,63,7,6,38,4,4,15,35
2020-01-30,20,39,10,21,17,8,6,45,5,2,16,38,14,13,4,6,11,39,8,49,19,29,12,38,39,8,25,8,10,24
2020-01-31,28,10,16,7,38,30,18,22,51,5,36,50,21,7,7,8,9,7,67,15,20,16,36,10,5,8,14,9,19,72
2020-02-01,9,31,32,13,10,5,32,38,10,4,9,7,28,7,34,11,16,51,51,15,50,22,35,56,7,27,36,28,11,19
2020-02-02,14,43,37,13,20,41,22,26,36,37,23,34,20,26,35,19,47,31,34,33,27,47,34,44,47,22,3,1,28,71
