id,created_at,favorite count,retweet count,user,user followers count,text
1242958713385889792,2020-03-25 23:37:04,1215,253,chicagobulls,4143215,"Bulls down 1...  MJ for the win...

32 points | GW bucket | OTD 1995 https://t.co/psR6pomFI0"
1242941179261526020,2020-03-25 22:27:24,306,47,chicagobulls,4143215,"It's time for #WallpaperWednesday 🙌

Presented by @GotPrint: https://t.co/axNIczV529"
1242918852478021632,2020-03-25 20:58:41,194,38,chicagobulls,4143215,"Two huge poster dunks against two of the game’s historic big men. 

Which of these @ScottiePippen dunks advances to Round 3?"
1242894745652719616,2020-03-25 19:22:53,356,72,chicagobulls,4143215,The @UnitedCenter has announced that the arena and outside campus will be transformed into a logistics hub to assis… https://t.co/cy8VMNpmdr
1242866760241631232,2020-03-25 17:31:41,248,72,chicagobulls,4143215,MJ climbing Mt. Mutombo vs. his iconic poster over Patrick Ewing opens the second round of the All-Time Dunk Bracke… https://t.co/NwP07HUzCN
1242859288751525894,2020-03-25 17:02:00,55,13,chicagobulls,4143215,"Check out which dunks made it through in our All-Time Dunk Bracket ahead of the second round starting today. 

Reme… https://t.co/7F74njnGU1"
1242852756244873216,2020-03-25 16:36:02,257,25,chicagobulls,4143215,"Should the NBA bring back hand-checking? 🤔

@SamSmithHoops opens his mailbag:"
1242808139382218760,2020-03-25 13:38:45,238,46,chicagobulls,4143215,"Download the Bulls designs for yourself, courtesy of @albator! https://t.co/utZprjy9Xb"
1242807614846746626,2020-03-25 13:36:40,418,71,chicagobulls,4143215,Bulls fan @albator has created #AnimalCrossing jersey designs for every Bulls jersey from this season 🤯… https://t.co/eVsS5gB04I
1242600416321339398,2020-03-24 23:53:20,5,0,chicagobulls,4143215,@skip2_mylew 👏
1242588077899554817,2020-03-24 23:04:18,306,40,chicagobulls,4143215,"Nice work #BullsNation 

Here are some more players, and a few Bulls personalities. 

1.🏚 - 💇‍‍👨‍👦
2.😂🙋‍‍ - 🐨🐨🐯🐯🦁🦁🐮… https://t.co/OIAOXv1bqJ"
1242556673488760835,2020-03-24 20:59:31,362,35,chicagobulls,4143215,❤️ 🙌 thank you for all you do! https://t.co/k76EzmiCyo
1242541334059257860,2020-03-24 19:58:33,3,0,chicagobulls,4143215,@NoahValin 👏
1242522610967154689,2020-03-24 18:44:10,20,1,chicagobulls,4143215,@jbboomstick 👏
1242521057531236353,2020-03-24 18:37:59,532,56,chicagobulls,4143215,"#BullsNation, can you guess these players’ names from their emoji spellings? 

1.  🎾 - 🎣👨‍💼
2.  🥶🅱️ - ⚪️   
3.  🎤🍺… https://t.co/znSELjcaKI"
1242466929090138112,2020-03-24 15:02:54,0,249,chicagobulls,4143215,"RT @BullsArchive: 25 years ago today, Michael Jordan returned to the United Center wearing No. 45. https://t.co/E6hOIouFSk"
1242189924436238342,2020-03-23 20:42:11,1,0,chicagobulls,4143215,@rick_jr_16 @BMOHarrisBank @onetailatatime What a star.
