id,created_at,favorite count,retweet count,user,user followers count,text
1242993449386811392,2020-03-26 01:55:06,137,22,dallasmavs,1724260,Coach Carlisle continues to pay it forward by purchasing Sal’s Pizza for those working  the COVID testing site at… https://t.co/L2w5pFZz6A
1242955855865303041,2020-03-25 23:25:43,43,1,dallasmavs,1724260,What is your favorite THJ moment from this season?
1242955810604548097,2020-03-25 23:25:32,207,19,dallasmavs,1724260,Virtually sending you those THJ vibes ⚡️😤 #MFFL https://t.co/I5BwSXVBGs
1242938710242590726,2020-03-25 22:17:35,5,1,dallasmavs,1724260,@thejomoyo Same.
1242889984362848256,2020-03-25 19:03:58,65,10,dallasmavs,1724260,https://t.co/doAGOpwMeQ
1242889105907867651,2020-03-25 19:00:29,207,29,dallasmavs,1724260,"On This Day (2008): Josh Howard led the Mavs to victory over the LA Clippers by scoring 32 points, with 9 points in… https://t.co/gWg95xE8rb"
1242845566360485889,2020-03-25 16:07:28,403,58,dallasmavs,1724260,"Don't Crack Challenge feat. Jalen &amp; JJacks

Ask and you shall receive! Watch @jalenbrunson1 &amp; @jjacks_44 try to cra… https://t.co/gbxdPnqpHY"
1242647590367301634,2020-03-25 03:00:47,1684,184,dallasmavs,1724260,Missing the crew 🤙 (&amp; missing a few) #MFFL https://t.co/iiB6xglx4Y
1242616172912279552,2020-03-25 00:55:56,337,38,dallasmavs,1724260,One of the many reasons we 💙 @DwightPowell33: DP donated 100 coffees &amp; individually wrapped pastries from La La Lan… https://t.co/XYryOmBoFY
1242555911392178179,2020-03-24 20:56:29,203,26,dallasmavs,1724260,"On This Day (1984): Mark Aguirre set the then franchise record by scoring 46pts in a W over the Nuggets, on 21 made… https://t.co/G8Y0DmkLKb"
1242550299509829635,2020-03-24 20:34:11,0,4,dallasmavs,1724260,"RT @mavsfirepatrol: Got fresh kicks &amp; no place to wear them? #TweetYourHeat 

Post a pic of your hottest shoes &amp; tag us for a RT 🔥👟👡🥾🔥 http…"
1242507757208702976,2020-03-24 17:45:08,75,6,dallasmavs,1724260,Take a break from WFH and listen to some of @MaxiKleber’s favorites ⬇️ 🎧 #MFFL https://t.co/e4GfnTPR5L
1242481599314345985,2020-03-24 16:01:12,0,64,dallasmavs,1724260,RT @jalenbrunson1: I see the picture is accurate without the right arm rn 🤦🏽‍♂️ https://t.co/u3WRhxHe73
1242261476288716801,2020-03-24 01:26:30,135,9,dallasmavs,1724260,Run stopper! @delonwright https://t.co/S4sPA6PDdO
1242253605299781632,2020-03-24 00:55:14,192,22,dallasmavs,1724260,Hustle before the half! @delonwright https://t.co/TDrxePcXwq
1242253277330395136,2020-03-24 00:53:55,71,6,dallasmavs,1724260,Our Last win... -Delon https://t.co/u29MEPKcRY
1242248783351681026,2020-03-24 00:36:04,141,14,dallasmavs,1724260,👀 @delonwright https://t.co/tIjoplu5yh
1242248244379475968,2020-03-24 00:33:55,27,2,dallasmavs,1724260,Nick &amp; Sam’s -Delon https://t.co/jFniAF6YUd
1242248083875995648,2020-03-24 00:33:17,81,0,dallasmavs,1724260,My JUCO coach didn’t let me wear 1... so I went with highest number (55) https://t.co/vrQ65KA4i1
1242247659102056455,2020-03-24 00:31:36,57,6,dallasmavs,1724260,"Seeing my brother get drafted, I knew I could make it if he did lol -Delon https://t.co/br8Xpkse1h"
1242246366048509952,2020-03-24 00:26:28,48,3,dallasmavs,1724260,My son @CourtneyLee5 -Delon https://t.co/QOYGesGe02
1242246124305625088,2020-03-24 00:25:30,28,1,dallasmavs,1724260,Left wing -Delon https://t.co/Z8pRa6t9bf
1242246053551898624,2020-03-24 00:25:13,47,8,dallasmavs,1724260,"Mavs at @Lakers  from 12/1/19 on @FOXSportsSW right now. 

@delonwright  on the keys for the twitter takeover #MFFL https://t.co/jTCT5V9tft"
1242245763712851970,2020-03-24 00:24:04,43,8,dallasmavs,1724260,"Mavs at @Lakers  from 12/1/19 on @FOXSportsSW right now. 

@delonwright  on the keys for the twitter takeover #MFFL https://t.co/DaupmzYAMw"
1242245650022047745,2020-03-24 00:23:37,27,1,dallasmavs,1724260,When I was drafted in 2015 -Delon https://t.co/ocFvExjHKF
1242244875992666120,2020-03-24 00:20:32,37,5,dallasmavs,1724260,Watching every Netflix movie/show and Xbox https://t.co/stpNHeGGpB
1242244724792209415,2020-03-24 00:19:56,404,23,dallasmavs,1724260,Sorry Mav fans but @DwyaneWade lol -Delon https://t.co/A69NYI03wi
1242239124502917121,2020-03-23 23:57:41,181,22,dallasmavs,1724260,"🚨 @delonwright TAKEOVER 🚨

Tune in tonight on @FOXSportsSW as we replay the DAL @ LAL game from 12/1/19 with our gu… https://t.co/aamqJPpjDI"
1242235485151531011,2020-03-23 23:43:13,556,89,dallasmavs,1724260,"Last night, @kporzee paid for 60 dinners to be delivered to @Parkland Hospital ICU. These meals went to those that… https://t.co/kfNJoBUb4t"
1242197891201921024,2020-03-23 21:13:50,0,13,dallasmavs,1724260,"RT @MavsGG: Our squads for the #NBA2KLeague Three For All Showdown 🔒

#MavsGG | @Chime https://t.co/lmSHAqTns3"
1242190269933670407,2020-03-23 20:43:33,0,35,dallasmavs,1724260,"RT @SomosMavs: De cerca y de lejos, nuestra estrella Luka Dončic siempre encesta la pelota en la canasta!✨

Estas son sus mejores jugadas d…"
1242181517360664576,2020-03-23 20:08:47,123,16,dallasmavs,1724260,https://t.co/4gMWHZwnjA
1242181265345961984,2020-03-23 20:07:46,474,79,dallasmavs,1724260,On This Day (2006): Dirk Nowitzki dropped 51 points vs. the Golden State Warriors shooting 16 of 24 from the field.… https://t.co/GKScH8HBBd
1242154614008483841,2020-03-23 18:21:52,157,12,dallasmavs,1724260,https://t.co/ngFgbZJbO2
1242154602029613056,2020-03-23 18:21:49,92,10,dallasmavs,1724260,https://t.co/BqqgJyM0Xz
1242154512695136256,2020-03-23 18:21:28,47,8,dallasmavs,1724260,https://t.co/UxDVcGD3vK
1242154424782532615,2020-03-23 18:21:07,27,6,dallasmavs,1724260,https://t.co/r0SZls8uBz
1242154340405710850,2020-03-23 18:20:47,40,9,dallasmavs,1724260,https://t.co/f728jVMo2L
1242154240358912001,2020-03-23 18:20:23,1085,146,dallasmavs,1724260,"“Unguardable.” One year ago today, @luka7doncic put on a show in The Bay with a triple-double in less than 30 minut… https://t.co/tKXw0h3USz"
1242132432150769667,2020-03-23 16:53:44,170,22,dallasmavs,1724260,Some motivating words and updates from our very own @DwightPowell33 💪 #MotivationMonday #MFFL https://t.co/XyWoJnmmp5
1242089405059399680,2020-03-23 14:02:45,184,14,dallasmavs,1724260,https://t.co/lZiCLoHUIE
1242089396448477188,2020-03-23 14:02:43,840,83,dallasmavs,1724260,We hope this brings some joy... Happy #NationalPuppyDay 🤗 #MFFL https://t.co/0HWjtwdiK3
1241866038351970304,2020-03-22 23:15:10,1039,152,dallasmavs,1724260,"@mcuban @cyntmarshall Last night, @sdotcurry purchased 115 dinners from local owned restaurant… https://t.co/N7xiyBz7vT"
1241865705454292992,2020-03-22 23:13:51,642,83,dallasmavs,1724260,"Our players, @mcuban, @cyntmarshall and Coach Carlisle are teaming up! 

They are going to purchase food from a loc… https://t.co/ZgEZgQDQhB"
1241855621181444096,2020-03-22 22:33:47,306,61,dallasmavs,1724260,"Now more than ever, we are one team.  #PlayInside #PlayForTheWorld @nike https://t.co/Fe1v36PtNr"
1241818117157859335,2020-03-22 20:04:45,0,390,dallasmavs,1724260,RT @mcuban: Thank you. They are HEROES . @dallasmavs will continue to find ways to help those who put themselves at risk to protect us. #da…
1241818077379117061,2020-03-22 20:04:36,250,65,dallasmavs,1724260,".@Johnson4Dallas &amp; @jalenbrunson1 let us know the 5 things we can do to #StopTheSpread. We’re in this together, Dal… https://t.co/qZQ0P75T3F"
1241784971376943106,2020-03-22 17:53:03,1217,111,dallasmavs,1724260,We know you miss that #BobiContent 🧻 😂 https://t.co/63yDwTY0JU
1241541314073841668,2020-03-22 01:44:50,82,7,dallasmavs,1724260,"HALFTIME! We’re up 51-45 to the ⁦@Suns on NBA2K! 

⁦@Chime⁩ | #MFFL 

Catch the second half 👉⁩ https://t.co/w3Ubpwl6c6"
1241534366305726464,2020-03-22 01:17:14,23,0,dallasmavs,1724260,The game has just begun! Tune in!
