id,created_at,favorite count,retweet count,user,user followers count,text
1242985954568294402,2020-03-26 01:25:19,153,34,hornets,979503,"Bake put in some work at home today 🥓⛹️‍♂️

@BaconDwayne1000 x #AllFly https://t.co/GOJsLfwf0y"
1242959455714762754,2020-03-25 23:40:01,89,7,hornets,979503,"Classic Hornets content has arrived. 🐝 

ON THIS DAY IN 1995: Alonzo Mourning and Larry Johnson both record double-… https://t.co/1SW4PuayLJ"
1242941832658423808,2020-03-25 22:30:00,29,6,hornets,979503,"""These last few weeks, I’ve really just been staying at home doing workouts. I got weights and some other equipment… https://t.co/plKbCNJntb"
1242922736126758914,2020-03-25 21:14:07,7,0,hornets,979503,Which Hornet has the most FGM off Devonte’ Graham assists this season? 🔥
1242922733547241474,2020-03-25 21:14:06,8,0,hornets,979503,Who leads the Hornets in dunks this season? 🔨
1242922731613626370,2020-03-25 21:14:06,3,0,hornets,979503,What is the largest comeback win of the season for the Hornets? 😎
1242922730095284242,2020-03-25 21:14:05,3,0,hornets,979503,PJ Washington and what other player hold the single-game rookie franchise record for 3PM? 🤔
1242922727247425538,2020-03-25 21:14:05,4,0,hornets,979503,Who scored the Hornets’ first points of the season? 🐝
1242922723187269633,2020-03-25 21:14:04,44,4,hornets,979503,"It’s time to test your Hornets knowledge with a quick quiz! 🤓 Ready, set, GO! https://t.co/QdP4QlAVQi"
1242916191808749569,2020-03-25 20:48:07,1,0,hornets,979503,@HornetsBeardGuy @MuggsyBogues @realdellcurry Love it!
1242907686393589767,2020-03-25 20:14:19,106,13,hornets,979503,"#WallpaperWednesday: Legends Edition

👉 Use this as your phone's wallpaper...
📸 Screenshot...
🗣 Reply to this tweet… https://t.co/PZxpT8TVYF"
1242850304628047877,2020-03-25 16:26:18,1,0,hornets,979503,@anum_akhter28 https://t.co/lOknVVRoPE
1242849954030387200,2020-03-25 16:24:54,2,0,hornets,979503,@RiskyBusinessLM @Canes That's what we're here for! 😀
1242849791031349250,2020-03-25 16:24:15,0,0,hornets,979503,@DefPenHoops Can't argue that
1242617631976370182,2020-03-25 01:01:44,1,0,hornets,979503,@CoreyEasterday Always! 🐝
1242616918592368643,2020-03-25 00:58:54,5,2,hornets,979503,@dormannicholas4 💜💜💜
1242616302361075712,2020-03-25 00:56:27,31,3,hornets,979503,"Okay, y'all - it's your turn! Tag a friend and keep the kindness going! 💜"
1242615694774226945,2020-03-25 00:54:02,38,3,hornets,979503,@trailblazers a dozen roses for the Rose City: 🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹
1242613280503447552,2020-03-25 00:44:27,41,4,hornets,979503,@MiamiHEAT we love the 🔥 during your pregame intros!
1242613279693963265,2020-03-25 00:44:27,33,4,hornets,979503,@OrlandoMagic we believe in magic! 🎩
1242613278938890241,2020-03-25 00:44:26,37,4,hornets,979503,@Bucks the ice cream in your media dining room is next-level clutch. 🍦
1242613278142013445,2020-03-25 00:44:26,31,5,hornets,979503,@celtics we're lucky to have you. 🍀
1242613277215129606,2020-03-25 00:44:26,26,2,hornets,979503,@utahjazz the mountain scenery in Salt Lake City really jazzes up our world. 🎶
1242612214974078978,2020-03-25 00:40:13,30,2,hornets,979503,@chicagobulls Benny's dance moves should land him a spot on @DancingABC! 🕺🏽
1242612213984174087,2020-03-25 00:40:13,39,3,hornets,979503,"@Raptors congrats to the DEFENDING CHAMPIONS! 🥳 (That never gets old, does it?)"
1242612212981805056,2020-03-25 00:40:12,29,2,hornets,979503,@sixers one word - CHEESESTEAKS. 😋
1242612211518001153,2020-03-25 00:40:12,33,2,hornets,979503,@ATLHawks wouldn’t wanna hold down the Southeast with anyone else. 😁
1242612210532311043,2020-03-25 00:40:12,33,4,hornets,979503,@cavs Cleveland rocks! 🎶
1242612209500504066,2020-03-25 00:40:12,32,2,hornets,979503,@Suns keep SHINING! ☀️
1242612208112226306,2020-03-25 00:40:11,34,3,hornets,979503,@warriors that new arena is BAY-utiful! 😍
1242612206799400960,2020-03-25 00:40:11,38,2,hornets,979503,@SacramentoKings we love ur memes! 😎
1242612205658550272,2020-03-25 00:40:11,33,3,hornets,979503,@Timberwolves awooooooooooooooo! 🐺
1242612204010119172,2020-03-25 00:40:10,36,2,hornets,979503,@DetroitPistons the lights on your arena’s ceiling are extra cool! 🤩
1242612202915409920,2020-03-25 00:40:10,37,4,hornets,979503,@spurs mighty full trophy case you’ve got there! 🏆
1242612201753624577,2020-03-25 00:40:10,35,2,hornets,979503,@LAClippers LOVE the Old English font on your City Edition unis! 🔥
1242612200621182979,2020-03-25 00:40:09,34,3,hornets,979503,@memgrizz keep roaring to the top! 🐻
1242612199190859777,2020-03-25 00:40:09,36,2,hornets,979503,@nuggets  s/o to an ABA OG! 🙌🏽
1242612197957808128,2020-03-25 00:40:09,34,2,hornets,979503,@nyknicks Your atmosphere at The Garden is always ELECTRIC! ⚡️
1242612196623998987,2020-03-25 00:40:08,34,2,hornets,979503,@Pacers what basketball fan doesn’t love watching Hoosiers? 🏀
1242612194933702660,2020-03-25 00:40:08,41,2,hornets,979503,@WashWizards Southeast Divisional buddies for life! 🤝
1242612193817964550,2020-03-25 00:40:08,38,2,hornets,979503,@dallasmavs you have a heart the size of a 10-gallon hat. 🤠
1242612192668790785,2020-03-25 00:40:08,43,7,hornets,979503,"@Lakers gotta admit, y’all rock purple too. 💜"
1242612191586590721,2020-03-25 00:40:07,56,3,hornets,979503,@HoustonRockets sending positivity your way in 3..2..1 🚀
1242612190550654978,2020-03-25 00:40:07,37,3,hornets,979503,@PelicansNBA we fly together! 🤜🤛
1242612189275488259,2020-03-25 00:40:07,49,3,hornets,979503,@BrooklynNets keep spreading love because it's the Brooklyn way. ❤
1242612188243771393,2020-03-25 00:40:06,45,4,hornets,979503,@okcthunder you are the perfect storm. ⛈
1242612187237154816,2020-03-25 00:40:06,43,2,hornets,979503,@NBA we literally wouldn't be here without you. Can't wait to hoop again! 🏀
1242612185316110336,2020-03-25 00:40:06,201,35,hornets,979503,"Let's take the @Canes' lead and spread a little positivity, #NBATwitter! 😀

A thread: https://t.co/a9XWFEp2Rt"
1242585725851369472,2020-03-24 22:54:57,736,171,hornets,979503,You ask. We deliver. Check out every @MilesBridges dunk of the season! 💥 #AllFly https://t.co/ZesfzbRR7y
