id,created_at,favorite count,retweet count,user,user followers count,text
1243013096383406080,2020-03-26 03:13:10,145,25,MiamiHEAT,4735009,Thanks to 💪 performances on both ends of the floor the squad grabbed a BIG overtime WIN against Philly. 🔥🎥… https://t.co/DADSW1cx2H
1243010155526184962,2020-03-26 03:01:29,608,68,MiamiHEAT,4735009,"The #WINNING bucket himself!

👶🐐 @raf_tyler 
[Shoutout to @TMBGamingYT for this one] https://t.co/dxGvKZ5hxZ"
1243007217500110851,2020-03-26 02:49:49,239,46,MiamiHEAT,4735009,"There's absolutely no stopping 💥@Bam1of1 in the CLUTCH 

#HEATrewind | @FOXSportsHEAT https://t.co/c7EFVEoJvt"
1243000079503560704,2020-03-26 02:21:27,89,12,MiamiHEAT,4735009,"Of course, this also happened in the 4th 🤭 https://t.co/bHvefAiXWt"
1242995036100464640,2020-03-26 02:01:24,561,84,MiamiHEAT,4735009,"🔥 @Goran_Dragic &amp; @raf_tyler were quite the duo in the 4thQ and OT of this one. . . 

Don't miss the exciting finis… https://t.co/yKJ2Htd7Im"
1242989021405593600,2020-03-26 01:37:30,5,0,MiamiHEAT,4735009,@catchflames We don't blame you 😁
1242988211837829124,2020-03-26 01:34:17,126,15,MiamiHEAT,4735009,"By the way. . . that ball Eric just mentioned is still available at that low price 😉

➡️https://t.co/UfZsQn7Slw https://t.co/cYVzV82sTu"
1242979173351788549,2020-03-26 00:58:23,33,1,MiamiHEAT,4735009,"#HEATtwitter, you make the call tonight!

What do you want the #WINNING meme to be?"
1242977968042975234,2020-03-26 00:53:35,200,40,MiamiHEAT,4735009,"This. Is. HEAT. Basketball.

[watch #PHIvsMIA battle it out now on @FOXSportsHEAT] https://t.co/xblb4zU6P7"
1242964482827194369,2020-03-26 00:00:00,140,21,MiamiHEAT,4735009,"#HEATtwitter - We’ve got a fun one tonight! 😎

Head over to @FOXSportsHEAT now to relive our epic OT win over Phill… https://t.co/iL6KBD12Dy"
1242956931834265604,2020-03-25 23:30:00,485,60,MiamiHEAT,4735009,"Tag the homie you wanna posterize like this 👀

Relive this epic @Bam1of1 dunk that came during our OT home win over… https://t.co/HIlpHezKMM"
1242947662703398913,2020-03-25 22:53:10,295,39,MiamiHEAT,4735009,"#TheDragon 🐉 does it all! 

@Goran_Dragic is staying busy during this time with house work, how are you staying occ… https://t.co/BLiiv16T7h"
1242930195406995456,2020-03-25 21:43:45,732,135,MiamiHEAT,4735009,#HEATNationUnited 🔥🌎 https://t.co/v9djYQSp7w
1242902228484194305,2020-03-25 19:52:37,80,11,MiamiHEAT,4735009,💥 @Bam1of1 | #WallpaperWednesday https://t.co/dCDZxU6nux
1242902220556963840,2020-03-25 19:52:36,155,17,MiamiHEAT,4735009,🔥 | #WallpaperWednesday https://t.co/PV6HIh9tDK
1242902212747186186,2020-03-25 19:52:34,65,9,MiamiHEAT,4735009,✈️ | #WallpaperWednesday https://t.co/GXpXF6K3Eb
1242902207177121793,2020-03-25 19:52:32,59,14,MiamiHEAT,4735009,🏆 | #WallpaperWednesday https://t.co/5n0P3IFvJx
1242902198905901059,2020-03-25 19:52:30,590,79,MiamiHEAT,4735009,Jimmy G. Buckets | #WallpaperWednesday https://t.co/XcQYhleNTL
1242894695199629317,2020-03-25 19:22:41,96,19,MiamiHEAT,4735009,"#HEATTwitter we heard you. You have 24 hours at https://t.co/Ie3NOYdmus... go get em.

And let us know who/what you… https://t.co/PJyC7qh0tl"
1242865298715414531,2020-03-25 17:25:53,474,61,MiamiHEAT,4735009,#PlayInside 👌 https://t.co/c9Tskub2Pn
1242820189755973635,2020-03-25 14:26:38,1708,445,MiamiHEAT,4735009,"7 years ago today... win #27. Enjoy the ride.

#TDIHH | @miccnationmiami https://t.co/94Svjqaedj"
1242608661148708865,2020-03-25 00:26:06,472,87,MiamiHEAT,4735009,Call out those ‘90s defenders that @HardawaySr left in need of a map 🗺🤭⁣ https://t.co/httd8KZAA5
1242521928415543298,2020-03-24 18:41:27,6,1,MiamiHEAT,4735009,@ZMill316 Done. Nice doing business with ya.
1242511269774721025,2020-03-24 17:59:06,589,71,MiamiHEAT,4735009,Hey @ZMill316 here’s the @raf_tyler content you demanded from us. Now add us in your bio with those other teams you… https://t.co/8D9bltw90e
1242492338192158722,2020-03-24 16:43:52,220,24,MiamiHEAT,4735009,"No gym, no problem. #PlayInside | #NBATogether 

Get up and get moving with @ThisIsUD, using these timed drills to… https://t.co/hnIGVhL2Yp"
1242436761403490306,2020-03-24 13:03:01,2667,449,MiamiHEAT,4735009,"#BoshBomb-ing your TL to wish the one and only, @chrisbosh a happy birthday! 🎉 https://t.co/b1fb7KaZt6"
1242289261405179909,2020-03-24 03:16:55,177,38,MiamiHEAT,4735009,An all-around effort for the boys topped by @JimmyButler's 1st HEAT triple-double. That was the recipe for a big W… https://t.co/jKffglewzn
1242286587414810624,2020-03-24 03:06:17,13,0,MiamiHEAT,4735009,@06NotRigged @IcyLamarJackson @BucketHerro 😂
