id,created_at,favorite count,retweet count,user,user followers count,text
1242839520829210626,2020-03-25 15:43:27,0,3270,nyknicks,2178385,RT @NBA: A message from Mike Breen. #NBATogether https://t.co/ccs9TBejh7
1241795590041845766,2020-03-22 18:35:14,584,73,nyknicks,2178385,"Join us in wishing a Happy Birthday to Marcus Camby 🎈

Once a Knick, Always a Knick. #NewYorkForever https://t.co/Oc7WfM2aGN"
1239669082930196480,2020-03-16 21:45:15,124,14,nyknicks,2178385,"be done, we will come out of this situation stronger so please stay united, stay positive, we got this. Much love ❤ (3/3)"
1239669081885868033,2020-03-16 21:45:15,135,16,nyknicks,2178385,"Second of all, I want to invite you all to take this opportunity to spend time with your loved ones and really coun… https://t.co/nC4KQfP5tG"
1239669081005056000,2020-03-16 21:45:15,97,11,nyknicks,2178385,"It's crazy how things can change from one minute to the next. Over the last few days, we have learned that we are a… https://t.co/NUSnd1gBnN"
1239667789188775936,2020-03-16 21:40:07,1344,170,nyknicks,2178385,A message from @FrankLikina: https://t.co/lkLCs9no5Y
1239583470109720581,2020-03-16 16:05:04,461,37,nyknicks,2178385,"Wishing a safe and Happy Birthday to our guy, @ReggieBullock35! 🎈 https://t.co/uhLhPv4QmZ"
1238843578182447113,2020-03-14 15:05:00,945,134,nyknicks,2178385,"Happy Birthday to the 2-time All-Star, Larry Johnson! 💪

#NewYorkForever https://t.co/jT5VocWqGL"
1238442646856773639,2020-03-13 12:31:50,607,66,nyknicks,2178385,A letter from Commissioner Adam Silver and the @nba: https://t.co/nzHbXXK9GS
1237925612305756161,2020-03-12 02:17:20,1733,258,nyknicks,2178385,That’s a wrap from Atlanta. https://t.co/kdIUhgoh4R
1237914864141635584,2020-03-12 01:34:37,592,71,nyknicks,2178385,RJ cookin' https://t.co/7zjBZTZQs7
1237912178105159681,2020-03-12 01:23:57,367,49,nyknicks,2178385,The feed needed a Mitch block https://t.co/Yvx9a2lkjx
1237908331135631361,2020-03-12 01:08:40,130,22,nyknicks,2178385,Beauty of a pass from EP https://t.co/PAjnpaz8EC
1237907475569029122,2020-03-12 01:05:16,138,17,nyknicks,2178385,Taj with AUTHORITY https://t.co/OKQi1qSVhn
1237901428204724225,2020-03-12 00:41:14,294,34,nyknicks,2178385,Kev went a perfect 3-for-3 from deep in the 1st half 🎯 https://t.co/IXhwNkAvrd
1237900589050269696,2020-03-12 00:37:54,135,19,nyknicks,2178385,Knicks lead at the break. https://t.co/Qcwq5DpjUi
1237898840490950656,2020-03-12 00:30:57,244,26,nyknicks,2178385,Court vision 🥽 https://t.co/Cl5vtCuNAQ
1237896485783535616,2020-03-12 00:21:35,206,19,nyknicks,2178385,Transition 3⃣ ball for Knox https://t.co/CisUxiiz4A
1237896153422692353,2020-03-12 00:20:16,410,33,nyknicks,2178385,Frank picking up where he left off 👌 https://t.co/CkIfHVP2Kh
1237892574729269249,2020-03-12 00:06:03,107,13,nyknicks,2178385,📸 https://t.co/DOUGSeyA8k
1237891727945420800,2020-03-12 00:02:41,780,122,nyknicks,2178385,Mitch is a movie 🎞️ https://t.co/BeFEC7IVea
