id,created_at,favorite count,retweet count,user,user followers count,text
1243003734348701698,2020-03-26 02:35:58,231,29,spurs,3495221,"Thanks for tuning in tonight, #SpursFamily!

#GoSpursGo | #NBATogetherLive https://t.co/M1dEKmaZUT"
1242998470602080258,2020-03-26 02:15:03,1027,169,spurs,3495221,"The 2005 NBA Finals MVP: Tim Duncan 

#GoSpursGo | #NBATogetherLive https://t.co/gn4MPFZVA6"
1242996091265712130,2020-03-26 02:05:36,0,247,spurs,3495221,"RT @NBA: ""Remember what we did and who we did it with...""

Coach Pop takes a moment to reflect on the @spurs 3rd title in franchise history…"
1242995228518334464,2020-03-26 02:02:10,968,154,spurs,3495221,"🏆🏆🏆

#GoSpursGo | #NBATogetherLive https://t.co/Tots8LwtSG"
1242993458253619202,2020-03-26 01:55:08,43,7,spurs,3495221,@NBA @DetroitPistons RC: It was an amazing experience to share that with the city of San Antonio &amp; the Spurs Family… https://t.co/sO9oZcVkvy
1242991366784929794,2020-03-26 01:46:50,45,8,spurs,3495221,"@NBA @DetroitPistons RC: Tim is a once in a generation-type player to have in your program. 

#GoSpursGo | #NBATogetherLive"
1242991011896401922,2020-03-26 01:45:25,34,4,spurs,3495221,"@NBA @DetroitPistons RC: If you look back at all of our Championships, every podium was full of international flags… https://t.co/ViDhQtJl1o"
1242990837518254080,2020-03-26 01:44:43,28,1,spurs,3495221,"@NBA @DetroitPistons RC: That was really an emotional time for Pop.

#GoSpursGo | #NBATogetherLive"
1242990617120124933,2020-03-26 01:43:51,19,3,spurs,3495221,@NBA @DetroitPistons RC on David Stern: As great as our game is and as great as the personalities of our players ar… https://t.co/GIJpawmf81
1242989012392034304,2020-03-26 01:37:28,35,7,spurs,3495221,@NBA @DetroitPistons RC: The Riverwalk and the way we set up the Championship celebration on the Riverwalk was real… https://t.co/mVAvjQklyc
1242988512720420869,2020-03-26 01:35:29,51,8,spurs,3495221,@NBA @DetroitPistons RC on @manuginobili: I'm not sure I've ever seen a player with better instincts to be in the r… https://t.co/DRINgdsElg
1242987895738294272,2020-03-26 01:33:02,237,35,spurs,3495221,"🚫 @Bowen12 🚫

#GoSpursGo | #NBATogetherLive https://t.co/lSHKq6a3QB"
1242986162454700032,2020-03-26 01:26:09,31,5,spurs,3495221,"@NBA @DetroitPistons RC: @manuginobili and Tim both have an amazing feel and patience for those moments. 

#GoSpursGo | #NBATogetherLive"
1242985856018907138,2020-03-26 01:24:56,22,2,spurs,3495221,"@NBA @DetroitPistons RC: When you see how many possessions are late in the clock, the game does become a little fra… https://t.co/EhNWO3slV9"
1242985378497409025,2020-03-26 01:23:02,921,126,spurs,3495221,".@manuginobili FOR THREE! 👌

#GoSpursGo | #NBATogetherLive https://t.co/oAq0Nfjgnh"
1242985172741566466,2020-03-26 01:22:13,16,3,spurs,3495221,"@NBA @DetroitPistons RC: I think as much as anything, the defense by Detroit was terrific. 

#GoSpursGo | #NBATogetherLive"
1242983740919418886,2020-03-26 01:16:32,21,5,spurs,3495221,"@NBA @DetroitPistons RC: ""I was having fun watching the game. It was fun to be part of the competition. This whole… https://t.co/XjzHzHmwT8"
1242983532156329985,2020-03-26 01:15:42,221,29,spurs,3495221,"Baseline buckets.

#GoSpursGo | #NBATogetherLive https://t.co/thXFBVbWYA"
1242983056627183617,2020-03-26 01:13:48,1697,309,spurs,3495221,"OH MY @manuginobili! 😱

#GoSpursGo | #NBATogetherLive https://t.co/8r77qwoK9a"
1242982543571517440,2020-03-26 01:11:46,35,4,spurs,3495221,@NBA @DetroitPistons RC: I think @SteveKerr was sitting with Danny Ferry and me during this game. I think Steve sai… https://t.co/Koaj4tETxe
1242981484077690881,2020-03-26 01:07:33,38,7,spurs,3495221,"@NBA @DetroitPistons RC: At this point, Pop switched Bruce onto Chauncey. It was a turning point on their effective… https://t.co/jwOj1eGwk0"
1242980430594351104,2020-03-26 01:03:22,269,41,spurs,3495221,"AND. ONE.

#GoSpursGo | #NBATogetherLive https://t.co/Z6PqvlVL0I"
1242980085986099200,2020-03-26 01:02:00,25,6,spurs,3495221,"@NBA @DetroitPistons RC: People stood the entire game. Even the fans behind their bench, there was standing room on… https://t.co/LIJjHtVuvj"
1242978433380028418,2020-03-26 00:55:26,36,7,spurs,3495221,@NBA @DetroitPistons RC: Chauncey was as hard of a matchup as there was at the guard position. When he got to Detro… https://t.co/7odWJkTtsr
1242977332605988866,2020-03-26 00:51:04,1784,221,spurs,3495221,"Vintage.

#GoSpursGo | #NBATogetherLive https://t.co/6Ls25vTZcG"
1242975831695204358,2020-03-26 00:45:06,76,13,spurs,3495221,"@NBA @DetroitPistons RC: Games 5, 6, and 7 were really close. There are very few blowouts in Game 7's, just because… https://t.co/Cv5rFv1JTc"
1242974203420311553,2020-03-26 00:38:38,126,17,spurs,3495221,"@NBA @DetroitPistons RC: Both teams were built on defense. Rasheed Wallace, Ben Wallace, Chauncey, and the size of… https://t.co/n5qW6m08Q8"
1242973287669432321,2020-03-26 00:34:59,112,17,spurs,3495221,"@NBA @DetroitPistons RC: At this point in time in Game 7, the rotations were really slimmed down. We played 7 playe… https://t.co/B3iih3VzzC"
1242972985809678338,2020-03-26 00:33:47,362,49,spurs,3495221,"Timmy!

#GoSpursGo | #NBATogetherLive https://t.co/lRPlRmGPj9"
1242971577676939264,2020-03-26 00:28:12,96,21,spurs,3495221,".@RKHorry going to work in the first quarter!

#GoSpursGo | #NBATogetherLive https://t.co/bCNr15ee55"
1242969318071173120,2020-03-26 00:19:13,217,28,spurs,3495221,RC: It's exciting to be watching these Finals with the Spurs Family! We're playing the defending champions and an e… https://t.co/SfskO7XTGq
1242964952404631561,2020-03-26 00:01:52,0,709,spurs,3495221,RT @NBA: #NBATogetherLive - 2005 NBA Finals Game 7: @DetroitPistons at @spurs https://t.co/yhvmch3Imj
1242962667666538500,2020-03-25 23:52:47,354,41,spurs,3495221,"“I hope you’ll celebrate a great moment in Spurs history and join us.”
 
Spurs Sports and Entertainment CEO RC Bufo… https://t.co/5r2nBsbR6q"
1242955172827070467,2020-03-25 23:23:00,1270,174,spurs,3495221,"Relive Game 7 of the 2005 NBA Finals tonight!

⏰ 7pm CT
💻 @NBA 

#GoSpursGo | #NBATogetherLive https://t.co/qiaCEtuCRJ"
1242894408049201156,2020-03-25 19:21:33,179,25,spurs,3495221,".@Dwhite921 is taking over our Twitter for a Q&amp;A tomorrow! 🚨

Send in your questions using #AskDerrick"
1242894400281284614,2020-03-25 19:21:31,0,548,spurs,3495221,"RT @manuginobili: 🇺🇸Please my friends, keep practicing #SocialDistance. It's the only proven way to improve this situation. It's gonna get…"
1242849207486218240,2020-03-25 16:21:56,1072,100,spurs,3495221,"Happy birthday, @CoachAvery6! 🎉 https://t.co/N4lQnuFqXw"
1242843124461944832,2020-03-25 15:57:46,0,518,spurs,3495221,"RT @NBA: Tonight’s #NBATogetherLive classic game will feature Game 7 of the 2005 #NBAFinals between the @DetroitPistons &amp; @spurs!

We’re st…"
1242799394069655552,2020-03-25 13:04:00,844,82,spurs,3495221,"Happy birthday, @marcobelinelli! 🎉 https://t.co/0Uasbt5GL8"
1242573627599597568,2020-03-24 22:06:53,55,2,spurs,3495221,"IG takeover feat. team photographer @ireginaldthomas is underway now!

Head over to our Instagram to follow along 📸 https://t.co/qSlABeEY5I"
1242545902151180295,2020-03-24 20:16:43,1108,191,spurs,3495221,"On April 9, 1978, George Gervin needed 59 points to win the NBA scoring title over David Thompson.

When the Spurs… https://t.co/tPr3SHisQo"
1242527211258810369,2020-03-24 19:02:26,0,57,spurs,3495221,"RT @SpursCoyote: Hi, I’m great but miss my Spurs family!"
1242526806340763648,2020-03-24 19:00:50,0,21,spurs,3495221,"RT @SpursGive: Need a little cardio? 🏃‍♀️🏃‍♂️

Grab the whole family, and join @spurs legend @mattbonner_15 and @SpursCoyote for a quick wo…"
1242511497370222599,2020-03-24 18:00:00,377,77,spurs,3495221,Checking in on how @SpursCoyote is practicing social distancing... https://t.co/azsHzc1OCl
1242497256357576709,2020-03-24 17:03:25,186,11,spurs,3495221,"On January 18, 2015, four Australians were on the court for the first and only time in NBA history. Can you name th… https://t.co/IysuQvRfBK"
1242490853253357569,2020-03-24 16:37:58,99,5,spurs,3495221,"Tonight would have been our second game in a back-to-back vs. the Jazz, so we're jumping back into the… https://t.co/gYzjgdCP19"
1242221595973890048,2020-03-23 22:48:02,1821,185,spurs,3495221,"Hey @SanAntonioFC, how did Tony do? 🤔

🎥: @tonyparker https://t.co/xcXy0vMKNZ"
1242192826198380544,2020-03-23 20:53:43,0,12,spurs,3495221,RT @FOXSportsSW: Our upcoming @spurs Encore Presentations include an overtime thriller in Mexico City against the Suns and a trip to Boston…
1242161532710117386,2020-03-23 18:49:22,326,55,spurs,3495221,"🚨 IG TAKEOVER 🚨

Spurs team photographer @ireginaldthomas is taking over our Instagram tomorrow 📸

Tune in and foll… https://t.co/zBGWtrXyhr"
1241937942295298050,2020-03-23 04:00:54,561,52,spurs,3495221,"A look back at when @aldridge_12 WENT OFF for 45 PTS vs. Utah 👏

#GoSpursGo | #SASvsUTAseries https://t.co/XT72aPijD8"
1241908369864220673,2020-03-23 02:03:23,2832,565,spurs,3495221,"The steal. The slam. You love to see it. 

#GoSpursGo | #SASvsUTAseries https://t.co/z5I6fc47Qo"
1241897428862799872,2020-03-23 01:19:55,959,140,spurs,3495221,"Eyes in the back of his head 👀

@manuginobili | #SASvsUTAseries https://t.co/BIaWOJqOCx"
1241887114372898817,2020-03-23 00:38:55,0,23,spurs,3495221,"RT @FOXSportsSW: The turnover, the pass, the dunk. Greatness. All of it.

Make sure to catch an exciting ending to our #Encore presentation…"
1241873863304192003,2020-03-22 23:46:16,358,36,spurs,3495221,"That time @DeMar_DeRozan set his career-high as a Spur with 38 PTS 🔥

#GoSpursGo | #SASvsUTAseries https://t.co/5aXMoQSAd3"
1241859479387484161,2020-03-22 22:49:07,133,16,spurs,3495221,"Next up on our schedule: Utah 🎵

Since we won't be playing the Jazz tonight, let's take a walk down memory lane ins… https://t.co/VRIjKIJUxo"
1241856557182341120,2020-03-22 22:37:30,0,9,spurs,3495221,"RT @FOXSportsSW: 🚨 Programming Alert 🚨

Relive an #Encore presentation of #SacramentoProud vs. #GoSpursGo from Dec. 6!
📺 FOX Sports Southwe…"
1241819795097608193,2020-03-22 20:11:25,245,56,spurs,3495221,"Now more than ever, we are one team.  #PlayInside #PlayForTheWorld https://t.co/1IAVlpKks4"
1241803518119477249,2020-03-22 19:06:44,235,33,spurs,3495221,"We've got more Spurs Basketball tonight!

Relive our Dec. 6 comeback overtime victory vs. Sacramento at 6 and 9pm C… https://t.co/Hivq66LP1L"
1241772093047521281,2020-03-22 17:01:52,217,44,spurs,3495221,"Today we're launching a new series called Sundays with Sean!

Each week, @seanelliott_32 and his wife,… https://t.co/lWbIVnV3N7"
1241746776513748992,2020-03-22 15:21:16,0,86,spurs,3495221,"RT @NBA: Join us in wishing @Chimezie_Metu of the @spurs a HAPPY 23rd BIRTHDAY! 

#NBABDAY #GoSpursGo https://t.co/99UhtEbjh3"
1241715753331687424,2020-03-22 13:18:00,844,93,spurs,3495221,"Happy birthday, @Chimezie_Metu! 🎉 https://t.co/g0CB8BShkm"
1241501034742190081,2020-03-21 23:04:47,328,40,spurs,3495221,"OTD in 2012, @Bowen12's jersey joined the rafters.

#GoSpursGo https://t.co/GUronb3Ujl"
1241475760545771520,2020-03-21 21:24:21,0,1040,spurs,3495221,"RT @manuginobili: In times of #SocialDistance, don't be distant emotionally. Use technology to connect with people you appreciate and love.…"
1241475734444670976,2020-03-21 21:24:15,0,515,spurs,3495221,RT @Patty_Mills: Morning cuppas with the OG Coffee Gang. Stay social while being distant and GVO! https://t.co/SZ4KsRzuyC
1241403343668420611,2020-03-21 16:36:35,792,119,spurs,3495221,"We miss you, @SpursCoyote! https://t.co/Vd7cWiAUgL"
1241196340878741504,2020-03-21 02:54:02,88,12,spurs,3495221,"With this 👌 in Chicago last season, @Patty_Mills moved into second place on the Spurs all-time three pointers list!… https://t.co/tTFHBofz6L"
1241186622390956034,2020-03-21 02:15:25,129,15,spurs,3495221,"Remember when @aldridge_12 threw this down? 🔨😤

#GoSpursGo | #SASvsCHIseries https://t.co/h1D6pIEdvb"
1241176516714692609,2020-03-21 01:35:16,244,45,spurs,3495221,"this pass from @manuginobili 🤯

#GoSpursGo | #SASvsCHIseries https://t.co/KrgVRHC0ZL"
1241161300497104896,2020-03-21 00:34:48,417,53,spurs,3495221,"How, @tonyparker?!? 😯

#GoSpursGo | #SASvsCHIseries https://t.co/HnhfbrGm0W"
1241154725799776256,2020-03-21 00:08:40,393,90,spurs,3495221,".@DavidtheAdmiral with the SWAT! ✋🚫

#GoSpursGo | #SASvsCHIseries https://t.co/glb1BCg69e"
1241152801784451073,2020-03-21 00:01:02,431,47,spurs,3495221,"We heard you, #SpursFamily. You wanted to see more historical highlights, so we dove into the archive.

For the rem… https://t.co/R78RcUOPjx"
1241149851531980803,2020-03-20 23:49:18,0,12,spurs,3495221,"RT @FOXSportsSW: 🚨 Programming alert 🚨

Relive a thrilling #Encore presentation of #OneMission vs. #GoSpursGo from Dec. 3!
📺 FOX Sports Sou…"
1241063823441788928,2020-03-20 18:07:28,0,229,spurs,3495221,"RT @NBA: Introducing #NBATogether, a global community and social engagement campaign that aims to support, engage, educate and inspire yout…"
1241059709865639936,2020-03-20 17:51:07,515,82,spurs,3495221,"A 2OT thriller to remember 🔥

Catch an encore presentation of our Dec. 3 comeback victory vs. Houston tonight on… https://t.co/vqm6sg4zqW"
1240823516385214466,2020-03-20 02:12:34,603,40,spurs,3495221,@NBA @MiamiHEAT 👀 https://t.co/dYB7HswQAl
1240815914574118912,2020-03-20 01:42:21,1051,132,spurs,3495221,@MiamiHEAT @NBA Wanna run it back? 😏 https://t.co/gWMEXnE8hv
1240808172199297027,2020-03-20 01:11:36,4617,569,spurs,3495221,@NBA @MiamiHEAT We would have preferred the 2014 NBA Finals...
1240702319597142025,2020-03-19 18:10:58,1086,207,spurs,3495221,"""This is for the folks back in San Antonio!""

Catch the conclusion of the 1999 NBA Finals Game 5 on @NBATV.… https://t.co/bA2NsHo5ba"
1240696253660495872,2020-03-19 17:46:52,1208,222,spurs,3495221,"Where were you when we won our first championship?

Spurs 🆚 Knicks 1999 NBA Finals Game 5 - NOW on @NBATV 📺 https://t.co/ZKeKryrIVi"
1240687009179537410,2020-03-19 17:10:08,927,141,spurs,3495221,"""@CoachAvery6 for the lead... YES!!!""

Spurs 🆚 Knicks 1999 NBA Finals Game 5 - NOW on @NBATV! https://t.co/rg1xwZ7SSc"
1240679986165690369,2020-03-19 16:42:14,0,415,spurs,3495221,"RT @NBATV: The @spurs’ first championship was only the beginning 💪  

Game 5 of the 1999 NBA Finals - 1pm ET on NBA TV! https://t.co/Kl14vj…"
1240655934147493889,2020-03-19 15:06:39,810,130,spurs,3495221,"We've got more Spurs Basketball today!

Relive the 1999 NBA Finals Game 5 at noon on @NBATV 📺

#GoSpursGo https://t.co/A7QkFR7MgS"
1240644186254295041,2020-03-19 14:19:58,0,346,spurs,3495221,RT @SpursCoyote: Miss y’all! #SocialDistancing #GoSpursGo https://t.co/GzmpyGhhQF
1240436129008160768,2020-03-19 00:33:14,140,21,spurs,3495221,"Did you know there was a battle both on AND off the court when we played Portland on Oct. 28? 

A look back at the… https://t.co/U4lAjSBBqt"
1240419045977006081,2020-03-18 23:25:21,869,79,spurs,3495221,"The pass 👀
The finish 😱

Relive it all with the re-air of our Oct. 28 win vs. Portland - NOW on @FOXSportsSW! https://t.co/9ihGI52dvM"
1240402648660131841,2020-03-18 22:20:11,0,14,spurs,3495221,"RT @FOXSportsSW: 🚨 Programming alert 🚨

Reminisce with us with an #Encore presentation of #RipCity vs. #GoSpursGo from Oct. 28!
📺 FOX Sport…"
1240372391064240128,2020-03-18 20:19:57,0,2213,spurs,3495221,"RT @NBA: During the NBA Hiatus, Watch a Free Preview of NBA League Pass

&gt;&gt; https://t.co/Pqxh2ExSNm https://t.co/0VLbibniN1"
1240351073136762881,2020-03-18 18:55:15,483,60,spurs,3495221,"Missing basketball? So are we!

Catch an encore presentation of our Oct. 28 win vs. Portland tonight on… https://t.co/4FoRDr4DqW"
