id,created_at,favorite count,retweet count,user,user followers count,text
1242994741366538240,2020-03-26 02:00:14,41,2,Suns,1120116,"Medicaid, Marketplace and Medicare. 

@AzCHealthPlan has options to keep you covered wherever life takes you.… https://t.co/CYrrPufvc7"
1242967516206387200,2020-03-26 00:12:03,102,7,Suns,1120116,"😤 DA's perfect performance
🔥 Book closing it out in the 4th
☀️ Suns dominating victory

Everything you need to know… https://t.co/M8GJ3yNAvX"
1242950687652065280,2020-03-25 23:05:11,57,2,Suns,1120116,@DoogSZN @OubreFanClub @FOXSPORTSAZ @aronbaynes @BaynesFanClub @TS_Resort We definitely do https://t.co/Ny929fiBx5
1242950013954621440,2020-03-25 23:02:30,376,23,Suns,1120116,"Tune-In now to @FOXSPORTSAZ and relive @aronbaynes big game against the Blazers! 

(this is directed towards you… https://t.co/9LjUnL5nWi"
1242947494050324480,2020-03-25 22:52:30,104,8,Suns,1120116,".@DeandreAyton with the putback! 

@ConnsHomePlus #MakeItHappen 2K Play of the Game! https://t.co/ojQyeNOIVb"
1242945435041320961,2020-03-25 22:44:19,111,9,Suns,1120116,"Got that dub! 

#WeAreTheValley | @Gatorade https://t.co/T6EmDneVwT"
1242940178764722176,2020-03-25 22:23:25,75,4,Suns,1120116,Halftime check! | @Gatorade https://t.co/71QiO6jkfw
1242938143201841152,2020-03-25 22:15:20,146,8,Suns,1120116,SHEESH @tyjerome_ 👀 https://t.co/gUioNQdAAi
1242932359088852992,2020-03-25 21:52:21,50,13,Suns,1120116,"Tune-in now! 

@UniversalPhe2K &amp; @Dirk_JDR take the mic to rep #PHXvsWAS on the virtual hardwood! 🎮 https://t.co/Rg8jlKVcE0"
1242921626859008000,2020-03-25 21:09:42,39,5,Suns,1120116,"Be sure to activate your Suns Bingo Board!

Use the Suns + Talking Stick Resort Arena App for your chance to win ex… https://t.co/LLyAh5RrNu"
1242897837358104578,2020-03-25 19:35:11,48,7,Suns,1120116,"Join us today for our @NBA2K matinee matchup!

@UniversalPhe2K &amp; @Dirk_JDR will tip-off at 3PM on the virtual hardwood! 🎮"
1242879814526095361,2020-03-25 18:23:34,78,13,Suns,1120116,"A little mid-week Suns 2K action! 

@UniversalPhe2K vs @Dirk_JDR 
 
🎬 Presented by @CasinoArizona
🆚 @WashWizards 
⌚… https://t.co/goON55pUpD"
1242856104133971968,2020-03-25 16:49:21,61,1,Suns,1120116,@Timberwolves @KarlTowns 🧡💜
1242840424005263360,2020-03-25 15:47:02,2956,361,Suns,1120116,"#ValleyTeenz

📷: @cassyathena https://t.co/KlT8HzY0VU"
1242654406081798145,2020-03-25 03:27:52,16,0,Suns,1120116,@BLUECIFER602 MVP in social distancing
1242654112707006465,2020-03-25 03:26:42,738,77,Suns,1120116,"🚨 Social distancing advisory 🚨

Follow our lead https://t.co/RK1jvnqVKx"
1242642095338217472,2020-03-25 02:38:57,23,3,Suns,1120116,"If you didn’t guess @tyjerome_, you were wrong"
1242640456590090240,2020-03-25 02:32:26,277,43,Suns,1120116,"""Him using [his platform] to speak out and be an ally for women in sports, I think that's awesome. He gets it.""

- @SkyDigg4 on @DevinBook"
1242609708944338944,2020-03-25 00:30:15,115,6,Suns,1120116,"Whose shoes?! Worn earlier this month against the Blazers! 

Suns Shoe Game | @NAU https://t.co/YnvbAtLxUN"
1242561597945475073,2020-03-24 21:19:05,1045,120,Suns,1120116,Lucky we live in a time where we get to watch @DevinBook play basketball 🧡 https://t.co/O8WUZQF2fe
1242558380952051712,2020-03-24 21:06:18,376,47,Suns,1120116,"March 24, 1990: @therealTC24 drops 6⃣0⃣ PTS vs SEA.

March 24, 2017: @DevinBook scores 7⃣0⃣ PTS vs BOS.

Take a loo… https://t.co/9QvUUohoKT"
1242522012129480704,2020-03-24 18:41:47,77,37,Suns,1120116,"⁉️ TRIVIA TUESDAY ⁉️

How many square feet with the new center-hung scoreboard at @TSRarena be following the transf… https://t.co/Udt5exVdQq"
1242299097555456000,2020-03-24 03:56:00,16,0,Suns,1120116,@cheick_diallo13 😂😭
1242299052449861632,2020-03-24 03:55:49,1262,166,Suns,1120116,"Who needed a @KELLYOUBREJR dunk in their life?! 

One of our favorite @efirstbank Money Drives from this season! https://t.co/ckBylyt158"
1242252678052417541,2020-03-24 00:51:33,96,11,Suns,1120116,"""GREAT defense by a GREAT defender!""
“One-man fast break!”
“Oh man, I am slow...""

Miss @FSKPart3 on @NBA2K? We've got you covered! 👇"
1242242442943848448,2020-03-24 00:10:52,1,0,Suns,1120116,@tenfour808 @DeandreAyton Rocket and Max are the best boys
1242242322093367296,2020-03-24 00:10:23,3,1,Suns,1120116,@SunsGoat @DeandreAyton Hi Hazel! Love your eyes!
1242242255248699392,2020-03-24 00:10:08,1,0,Suns,1120116,@IssaBobcat_YT @DeandreAyton Definitely deserves that bone
1242242188307656704,2020-03-24 00:09:52,1,0,Suns,1120116,"@Melissa10697409 @DeandreAyton Suns out, tongues out!"
1242242118023663616,2020-03-24 00:09:35,1,0,Suns,1120116,@Noraaaasss @DeandreAyton That golden hour light hits different
1242242034603196416,2020-03-24 00:09:15,2,1,Suns,1120116,@jarod_tichy @DeandreAyton This photo is 💯
1242241978445643776,2020-03-24 00:09:02,0,0,Suns,1120116,@ruamaroaz @DeandreAyton He is living life
1242241841359028225,2020-03-24 00:08:29,2,1,Suns,1120116,@YuiPlsStepOnMe @DeandreAyton Sweater weather
1242241794529615872,2020-03-24 00:08:18,0,0,Suns,1120116,@DRod1092 @DeandreAyton 😍
1242241747847012354,2020-03-24 00:08:07,1,0,Suns,1120116,@sundvs3699 @DeandreAyton ❤️
1242241604552765441,2020-03-24 00:07:32,1,0,Suns,1120116,@angelinams112 @DeandreAyton ❤️🐶
1242241366794489858,2020-03-24 00:06:36,66,2,Suns,1120116,@brawadis @DeandreAyton That jersey is 🔥
1242228402641235968,2020-03-23 23:15:05,1,1,Suns,1120116,@AnthonyB0898 @DeandreAyton I hope my birthday gift looks like that this year!
1242228242670469120,2020-03-23 23:14:27,1,1,Suns,1120116,@AnthonyB0898 @DeandreAyton Max should be Insta famous. Look at that pose.
1242228140736270337,2020-03-23 23:14:02,1,0,Suns,1120116,@BobPoplawski @DeandreAyton Pierogi is a very good boy.
1242227879343058944,2020-03-23 23:13:00,1,0,Suns,1120116,@seanjlongley @DeandreAyton WOOF!
1242227413351714816,2020-03-23 23:11:09,4,0,Suns,1120116,@Amirthespear @DeandreAyton Social distancing EXPERT
1242227317486714885,2020-03-23 23:10:46,17,0,Suns,1120116,@AndrewLeezus @DeandreAyton You tell 'em Bork
