id,created_at,favorite count,retweet count,user,user followers count,text
1242820552609263616,2020-03-25 14:28:04,0,267,Timberwolves,1006560,"RT @UKCoachCalipari: My heart goes out to @KarlTowns, his mother and big Karl. Jackie is one of the strongest women I have ever met. I’ve b…"
1242818665264734208,2020-03-25 14:20:34,0,35,Timberwolves,1006560,"RT @GerssonRosas: Your Family is here for you @KarlTowns 
Prayers for Jackie 🙏🏽
#TogetherWeCanBeatThis
#StayHome"
1242692425447071745,2020-03-25 05:58:56,0,5603,Timberwolves,1006560,"RT @KarlTowns: WE CAN BEAT THIS, BUT THIS IS SERIOUS AND WE NEED TO TAKE EVERY PRECAUTIONS. https://t.co/zxMqVB9AWk via @YouTube"
1242692333965127680,2020-03-25 05:58:35,11787,1598,Timberwolves,1006560,"❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️

We’re all with you, @KarlTowns &amp; family. 

https://t.co/O4TL4YBNf4"
1242643736217014272,2020-03-25 02:45:28,0,9,Timberwolves,1006560,"RT @WolvesRadio: So many things to love about this play...

-great recognition of how much time was left &amp; what Jimmy was going to do...

-…"
1242624117624279040,2020-03-25 01:27:31,0,1,Timberwolves,1006560,RT @WolvesRadio: Just joining us? 2nd half of Wolves vs. Heat from Feb. 26 is airing NOW on @fsnorth.
1242612149689540608,2020-03-25 00:39:57,0,2,Timberwolves,1006560,"RT @WolvesRadio: How about that block from James Johnson on Jimmy Butler, a sign of things to come..."
1242612105942982656,2020-03-25 00:39:47,0,4,Timberwolves,1006560,RT @WolvesRadio: Big key in this game? Wolves 1st quarter play. Heat are 2nd best 1Q team in NBA (+14 NetRTG) &amp; are 31-10 when they lead/ti…
1242586192098381825,2020-03-24 22:56:48,175,22,Timberwolves,1006560,A message from @itsmclaughlin11 before tonight’s replay on @fsnorth 🐺 https://t.co/x1gQ2fRmNh
1242549401861664769,2020-03-24 20:30:37,0,6,Timberwolves,1006560,RT @WolvesRadio: Tonight at 7pm @fsnorth re-airs Wolves vs. Heat from Feb 26th -- join me as I'll be live-tweeting the game &amp; hit hit me up…
1242529336344719360,2020-03-24 19:10:53,239,17,Timberwolves,1006560,"🐺 re-watch the comeback in Miami, tonight at 7PM on @fsnorth!!! https://t.co/QS70R7DhSC"
1242505354757509122,2020-03-24 17:35:35,0,22,Timberwolves,1006560,"RT @MayoClinic: As #socialdistancing becomes the norm due to #COVID19, it's important to find new ways to remain active, as exercise is imp…"
1242502646117744642,2020-03-24 17:24:50,42,2,Timberwolves,1006560,The correct answer is Aussie legend @ShaneHeal 🇦🇺 https://t.co/bwAE0YsmVt
1242497452415975425,2020-03-24 17:04:11,0,7,Timberwolves,1006560,"RT @fsnorth: 2.26.20 - New look @Timberwolves take on the Heat in South Beach 

#WolvesClassics | Tonight 7P https://t.co/G4sMjoF18S"
1242489545360158722,2020-03-24 16:32:46,305,9,Timberwolves,1006560,"𝐖𝐡𝐨'𝐬 𝐭𝐡𝐚𝐭 𝐖𝐨𝐥𝐟? 🐺

- Undrafted
- 4x Summer Olympian
- Hit a career-high 5 3P at Seattle on 11/27/96 https://t.co/eplFpfKqQs"
1242477983991861249,2020-03-24 15:46:50,0,45,Timberwolves,1006560,"RT @jrnba: Stay healthy and active‼️

Today, Bill Burgos with the @Timberwolves teaches proper jump Squat technique @the_nbsca #JrNBAatHome…"
1242472400555409411,2020-03-24 15:24:38,172,18,Timberwolves,1006560,"Color us impressed 🎨

Keep the kids (or yourself) busy during quarantine with the first installment of our coloring… https://t.co/L49ptimW0r"
1242268878207455232,2020-03-24 01:55:55,0,9,Timberwolves,1006560,RT @CallMe_NonStop: Live now!! https://t.co/NLM9d0jABR
1242145167387181057,2020-03-23 17:44:20,119,4,Timberwolves,1006560,(you can send us pics of your Timberpups too 🐶) https://t.co/lhnYzAhOa3
1242141429582852100,2020-03-23 17:29:29,377,26,Timberwolves,1006560,"it’s National Puppy Day, so shoutout to these rookie Timberpups 🐺 https://t.co/jVyEeIkF9A"
1242114950853607425,2020-03-23 15:44:16,0,2,Timberwolves,1006560,"RT @Kyle_Ratke: New Layup Line with @julian_andrews_.

I really wish we were talking about something else, but here we are.

Listen here, o…"
1242112480995762176,2020-03-23 15:34:27,1387,139,Timberwolves,1006560,drip before drip was even a thing 💧 https://t.co/fmjb43juSl
1242081334744485897,2020-03-23 13:30:41,0,52,Timberwolves,1006560,"RT @GovTimWalz: It’s going to take every single one of us to fight this virus. Thanks for speaking up, Coach. #StayHomeMN"
1242066524451401728,2020-03-23 12:31:50,0,6,Timberwolves,1006560,"RT @GerssonRosas: For those wondering how we’re navigating COVID-19 

Stay safe #StayHomeMN

https://t.co/3fLzz1M8qi"
1241913713059233793,2020-03-23 02:24:37,0,6,Timberwolves,1006560,RT @GerssonRosas: That was fun &amp; it made me forget momentarily what we are dealing w as a nation. Thx for following along. Our fans are our…
1241913701516464128,2020-03-23 02:24:34,0,3,Timberwolves,1006560,RT @GerssonRosas: This game was for the fans. They were so loud and loving all the 3s by the guys. They have been patient this season and t…
1241913695468314630,2020-03-23 02:24:33,0,4,Timberwolves,1006560,RT @GerssonRosas: Big team win against a great opponent in front of an electric crowd! Start of a new era! We are far from a finished produ…
1241912373776019456,2020-03-23 02:19:18,0,4,Timberwolves,1006560,"RT @GerssonRosas: Naz! 26th 3 pointer of the night, franchise team record and one away from tying NBA record. Beasley carrying the shooting…"
1241910308295213056,2020-03-23 02:11:05,0,4,Timberwolves,1006560,"RT @GerssonRosas: Juancho finger roll, versatility a big plus for us at that spot
#WolvesClips"
1241906101001416704,2020-03-23 01:54:22,0,6,Timberwolves,1006560,"RT @GerssonRosas: Underrated playmaker!
Good energy all over tonight, on the floor, on the bench and in the crowd tonight. 
This is how we…"
1241902698007384064,2020-03-23 01:40:51,0,2,Timberwolves,1006560,"RT @GerssonRosas: Good defensive energy and rotations, Solid is enough as our coaches say! 
#WolvesClips"
1241901675897446401,2020-03-23 01:36:47,74,3,Timberwolves,1006560,https://t.co/kvIRSjx1yR https://t.co/6QDbrRelH8
1241900579200233472,2020-03-23 01:32:26,0,3,Timberwolves,1006560,"RT @GerssonRosas: Ball movement = Good offense
#WolvesClips"
1241900459767394305,2020-03-23 01:31:57,0,3,Timberwolves,1006560,RT @GerssonRosas: Shout out to those who take care of our guys! We are lucky to have@KZProvisioning @gavinkaysen @andrewzimmern create nutr…
1241900284013469696,2020-03-23 01:31:15,0,4,Timberwolves,1006560,RT @GerssonRosas: It will be exciting to see how our young guys all grow together and to see their skill sets compliment each other! #Young…
1241898960597291010,2020-03-23 01:26:00,194,8,Timberwolves,1006560,still gets us every time https://t.co/kdJv8YwBSE
1241897037366353920,2020-03-23 01:18:21,275,42,Timberwolves,1006560,"what's halftime without a halftime show?

🐶🐶🐶🐶🐶🐶🐶🐶🐶🐶🐶🐶 https://t.co/WDxvjWEcxU"
1241894974532157441,2020-03-23 01:10:09,0,4,Timberwolves,1006560,RT @GerssonRosas: Karl’s underrated as a playmaker as he consistently makes the right read/pass results in great offense for us because of…
1241893631650189315,2020-03-23 01:04:49,0,2,Timberwolves,1006560,"RT @GerssonRosas: JO developing into one of the top perimeter defenders and it was fun to watch him battle against the Clippers 
#WolvesCli…"
1241890293344919552,2020-03-23 00:51:33,0,1,Timberwolves,1006560,"RT @GerssonRosas: Jordan’s ability to get to the basket to create or score allows us to maximize our spacing and personnel 
#WolvesClips"
1241889603696517121,2020-03-23 00:48:49,0,6,Timberwolves,1006560,RT @GerssonRosas: Juancho’s ability to space the floor offensively and his versatility defensively were big reasons why we wanted him as ou…
1241889594926227457,2020-03-23 00:48:47,0,7,Timberwolves,1006560,"RT @GerssonRosas: JC is an underrated defender whose productive as a shot blocker and forcing turnovers 
#WolvesClips"
1241889588366340096,2020-03-23 00:48:45,0,2,Timberwolves,1006560,"RT @GerssonRosas: JJ’s defensive instincts to help Naz in the post was big, also helped us to force turnovers 
#WolvesClips"
1241887092864507904,2020-03-23 00:38:50,0,4,Timberwolves,1006560,RT @GerssonRosas: Our trades brought players who were better fits for our system on both ends and also added depth. 40 point in 1st quarter…
1241885926118178816,2020-03-23 00:34:12,0,3,Timberwolves,1006560,"RT @GerssonRosas: As important as three point shooting is for us, finishing at the rim is just as critical because our offense creates lots…"
1241884927420858370,2020-03-23 00:30:14,0,5,Timberwolves,1006560,RT @GerssonRosas: No D’Angelo in this game so we played primarily ran the offense through Karl at different spots on the floor and it resul…
1241884641641893889,2020-03-23 00:29:06,156,16,Timberwolves,1006560,"One.
Two.
Three.
Four.
Five.
Six.
SEVEN.

@mbeasy5's seven treys paced us to a franchise-record 26 three-pointers v… https://t.co/2k1mqO7bRd"
1241882701608529920,2020-03-23 00:21:23,0,9,Timberwolves,1006560,RT @GerssonRosas: Karl’s shooting ability changes the way teams defend us and as a result we end up with lots of open floor space. Beasley-…
1241882235411685376,2020-03-23 00:19:32,0,6,Timberwolves,1006560,"RT @GerssonRosas: Notice how well the spacing and ball movement is to start the game, big keys to our offense, guys playing very unselfishl…"
1241882224930086917,2020-03-23 00:19:30,0,4,Timberwolves,1006560,"RT @fsnorth: 25 more 3-pointers to go...

Catch this #WolvesClassic on @fsnorth now.

📱 https://t.co/abjsSJFBxQ https://t.co/KT6LjqtKpe"
