id,created_at,favorite count,retweet count,user,user followers count,text
1242982763348672517,2020-03-26 01:12:38,0,17,utahjazz,992391,"RT @utahjazz: If you're not too busy ...

We want to see some recreations of your favorite Utah Jazz buckets 🏀

𝐇𝐄𝐑𝐄'𝐒 𝐇𝐎𝐖:

1) Download th…"
1242971376551522304,2020-03-26 00:27:24,0,30,utahjazz,992391,RT @spidadmitchell: We live!!!! @BucketsONeale00 @Ninja https://t.co/HVK43RTLQf
1242962444466577408,2020-03-25 23:51:54,0,481,utahjazz,992391,"RT @budweiserusa: In uncertain times, there’s one thing that remains certain: we are #OneTeam. 

Let’s come together in support of the hero…"
1242946096902467584,2020-03-25 22:46:56,0,846,utahjazz,992391,RT @spidadmitchell: Gonna stream wit my guy @Ninja tonight 👀👀👀👀
1242895186654445568,2020-03-25 19:24:39,179,5,utahjazz,992391,Coming in ♨️ https://t.co/wApC1unrKl https://t.co/QTeNawWy33
1242848253940363266,2020-03-25 16:18:09,84,17,utahjazz,992391,"Download a reading tracker 𝙃𝙀𝙍𝙀 and get started on Bear’s Reading Challenge 📚

» https://t.co/tYCGLqu7qf https://t.co/WM1cFBHgBL"
1242603403085139969,2020-03-25 00:05:12,113,3,utahjazz,992391,👀 https://t.co/r75K2rJZeb
1242556033450381312,2020-03-24 20:56:58,98,7,utahjazz,992391,"Get to know our rookie, @th3flighttuck.

#OnTheClock | @BaileysMoving https://t.co/GBzcd8OGw5"
1242526770097565696,2020-03-24 19:00:41,123,11,utahjazz,992391,"🖍 On your to-do list today 🖍

» https://t.co/HH9woMtpb0 https://t.co/G9loaZCEVP"
1242229773515931648,2020-03-23 23:20:32,0,22,utahjazz,992391,RT @spidadmitchell: Have a listen!!! @Joeingles7
1242199794400890881,2020-03-23 21:21:24,203,17,utahjazz,992391,"If you're not too busy ...

We want to see some recreations of your favorite Utah Jazz buckets 🏀

𝐇𝐄𝐑𝐄'𝐒 𝐇𝐎𝐖:

1) D… https://t.co/tVhjpbtREg"
1242199368444211200,2020-03-23 21:19:43,13,0,utahjazz,992391,@realsaltlake @Joeingles7 thanks for listening!
1242190715641196544,2020-03-23 20:45:20,324,18,utahjazz,992391,"We know you're all in lots &amp; lots of @zoom_us meetings, so let us help you show your team pride with some stellar 𝙗… https://t.co/3qA9xRGOZD"
1242188175360942080,2020-03-23 20:35:14,90,1,utahjazz,992391,@ZachLowe_NBA can confirm: it is
1242183903034486784,2020-03-23 20:18:15,0,60,utahjazz,992391,RT @Joeingles7: We were lucky enough to have @DrAngelaCDunn take time away from her work &amp; gorgeous family to answer all of our questions o…
1242183425424945152,2020-03-23 20:16:21,117,0,utahjazz,992391,@BucketsONeale00 https://t.co/3dhyn1qJvo
1242181120956837893,2020-03-23 20:07:12,0,4,utahjazz,992391,"RT @GeorgesNiang20: Nothing better than a virtual workout with my good folks!! Don’t let anything stop us from summer body 2020!
#Quarantin…"
1242168992661303297,2020-03-23 19:19:00,44,9,utahjazz,992391,"🎧| #InglesInsight episode 2 is 𝐋𝐈𝐕𝐄 with special guest @DrAngelaCDunn, Utah's epidemiologist ⤵️  

»… https://t.co/KeUvXAJuQ1"
1241932427502612480,2020-03-23 03:38:59,428,12,utahjazz,992391,"WE'RE NOT CRYING YOU'RE CRYING 💛

#JazzPlayback | @ZionsBank https://t.co/7aq6OnHyZw"
1241922785099702273,2020-03-23 03:00:40,0,148,utahjazz,992391,RT @spidadmitchell: What. A. Time🥶
1241917577946738689,2020-03-23 02:39:58,888,65,utahjazz,992391,"1️⃣5️⃣ points in the third quarter for 🕷

#MACU3 | @mountainamerica https://t.co/jbaIb238Qq"
1241911132081672193,2020-03-23 02:14:22,338,24,utahjazz,992391,"The rookie ties the game at the half 𝗶𝗻 𝘀𝘁𝘆𝗹𝗲 😎

#JazzPlayback | @AFCU https://t.co/ksMNGl5INo"
1241897818886832128,2020-03-23 01:21:28,374,2,utahjazz,992391,@Joeingles7 😩
1241892531454922754,2020-03-23 01:00:27,72,6,utahjazz,992391,"Something to 🎨 while you watch us close out a series 📺

#JazzPlayback | @lexus https://t.co/JabetcMqPv"
1241889119145299970,2020-03-23 00:46:53,23,1,utahjazz,992391,"TUNE IN!

#JazzPlayback 
» https://t.co/ZT0sdvMYwK"
1241848288166293504,2020-03-22 22:04:38,258,17,utahjazz,992391,"𝗖𝗛𝗜𝗟𝗟𝗦 💛

Pregame for this classic on our Facebook page at 6:45 MT » https://t.co/CONeqBdeC3 https://t.co/3QpFHPkp1Y"
1241795864395300864,2020-03-22 18:36:20,172,13,utahjazz,992391,"Who’s going to be watching with us?

#JazzPlayback | @ATTSportsNetRM https://t.co/ayJXQfuiCR"
1241472125489168384,2020-03-21 21:09:54,136,15,utahjazz,992391,"🎧| Have you heard?! @joeingles7, @renaeingles &amp; @aaronfalk have launched a podcast and episode 1 is 𝙃𝙀𝙍𝙀 🚨… https://t.co/sP8nZAo9FU"
1241205310397636608,2020-03-21 03:29:41,328,13,utahjazz,992391,"JAZZ WIN! 

#JazzPlayback | @zionsbank https://t.co/EhSrOsBFgC"
1241191170350272516,2020-03-21 02:33:29,229,12,utahjazz,992391,"The block ☑️
The Jingling ☑️

#MACU3 | @MountainAmerica https://t.co/vc40ChuwX6"
1241170083633721344,2020-03-21 01:09:42,658,39,utahjazz,992391,"""Our first 'OH MY' moment!"" 

#JazzPlayback | @AFCU https://t.co/72c6k0yRjF"
1241167583849529345,2020-03-21 00:59:46,83,9,utahjazz,992391,"A 𝙉𝙀𝙒 coloring page to doodle while you watch tonight's game 🎨

#JazzPlayback | @Lexus https://t.co/h7FJOK5S37"
1241164304595865600,2020-03-21 00:46:44,38,4,utahjazz,992391,"JOIN US!

#JazzPlayback 
» https://t.co/YwxiwC06fR"
1241152060130656257,2020-03-20 23:58:05,64,1,utahjazz,992391,@Joeingles7 oh no
1241150932206768129,2020-03-20 23:53:36,0,30,utahjazz,992391,"RT @Joeingles7: Ingles Insight - Podcast #1 

Little intro &amp; conversation with @RenaeIngles &amp; @aaronfalk! Listen &amp; rate 🤙🏻

https://t.co/gn…"
